category,category_label,name,legal_name,town,url,website,website_source
detskiy-otdyh,Детский отдых / лагерь,Детский центр и городской лагерь Наши дети в Марьино,Детский центр и городской лагерь Наши дети в Марьино,Москва,https://moskva.fulledu.ru/detskiy-otdyh/detskiy-centr-i-gorodskoy-lager-nashi-deti-v-marino/about/,https://studiobaby.ru/o-nas,search:auto
detskiy-otdyh,Детский отдых / лагерь,Дискавери. PROFI,Дискавери. PROFI,Химки,https://moskva.fulledu.ru/detskiy-otdyh/diskaveri-profi/about/,https://msr.mosreg.ru/download/document/30038,search:auto
detskiy-otdyh,Детский отдых / лагерь,Дом Волшебников,Дом Волшебников,Москва,https://moskva.fulledu.ru/detskiy-otdyh/dom-volshebnikov/about/,https://www.kidsreview.ru/world/catalog/camps/dom-volshebnikov-na-voykovskoy-gorodskoy-lager-klub-dlya-detey-7-12-let-v-moskve,search:auto
detskiy-otdyh,Детский отдых / лагерь,Дорога добра,Дорога добра,Королев,https://moskva.fulledu.ru/detskiy-otdyh/doroga-dobra/about/,https://evpat.ru/detskij-otdykh-detskie-lagerya-detskie-sanatorii/detskij-lager-laspi.html,search:auto
detskiy-otdyh,Детский отдых / лагерь,Дружба,Дружба,деревня Костино,https://moskva.fulledu.ru/detskiy-otdyh/druzhba-1670-8833/about/,https://drujite.ru/blog/druzhba-eto,search:auto
detskiy-otdyh,Детский отдых / лагерь,Дружите.ру STAR WARS Возвращение Джедаев,Дружите.ру STAR WARS Возвращение Джедаев,,https://moskva.fulledu.ru/detskiy-otdyh/druzhiteru-star-wars-vozvraschenie-dzhedaev/about/,https://slvt.ru/lists/movies,search:auto
detskiy-otdyh,Детский отдых / лагерь,ДРУЖИТЕ.РУ. Анимагия,ДРУЖИТЕ.РУ. Анимагия,Руза,https://moskva.fulledu.ru/detskiy-otdyh/druzhiteru-animagiya/about/,https://campik.ru/camps/30,search:auto
detskiy-otdyh,Детский отдых / лагерь,ДРУЖИТЕ.РУ. Мыс Рока,ДРУЖИТЕ.РУ. Мыс Рока,Руза,https://moskva.fulledu.ru/detskiy-otdyh/druzhiteru-mys-roka/about/,https://drujite.ru/leto,search:auto
detskiy-otdyh,Детский отдых / лагерь,ДРУЖИТЕ.РУ. Штормград,ДРУЖИТЕ.РУ. Штормград,Руза,https://moskva.fulledu.ru/detskiy-otdyh/druzhiteru-shtormgrad/about/,https://camp.mosreg.ru/camps/63,search:auto
detskiy-otdyh,Детский отдых / лагерь,Дубки,Дубки,Ивантеевка,https://moskva.fulledu.ru/detskiy-otdyh/dubki-1461-2477/about/,https://ratour.ru/see/lager-dubki-moskovskaya-oblast,search:auto
detskiy-otdyh,Детский отдых / лагерь,Евроклуб (Алтуфьевское шоссе),Евроклуб (Алтуфьевское шоссе),,https://moskva.fulledu.ru/detskiy-otdyh/evroklub-altufevskoe-shosse/about/,https://campik.ru/camps/evroklub-altufevskoe-sosse,search:auto
detskiy-otdyh,Детский отдых / лагерь,Евроклуб (Звенигород),Евроклуб (Звенигород),Звенигород,https://moskva.fulledu.ru/detskiy-otdyh/evroklub-zvenigorod/about/,https://camp.mosreg.ru/camps/128,search:auto
detskiy-otdyh,Детский отдых / лагерь,Евроклуб (Каширское шоссе),Евроклуб (Каширское шоссе),Домодедово,https://moskva.fulledu.ru/detskiy-otdyh/evroklub-kashirskoe-shosse/about/,https://camp.mosreg.ru/camps/128,search:auto
