category,category_label,name,legal_name,town,url,website
school,Школа,*,*,Москва,https://moskva.fulledu.ru/school/shkola-centr-obrazovaniya-175/about/,
school,Школа,*,128,Москва,https://moskva.fulledu.ru/school/srednyaya-obscheobrazovatelnaya-shkola-128-8298-141043/about/,
school,Школа,*,Государственное Бюджетное Образовательное Учреждение Города Москвы Средняя Общеобразовательная Школа № 1447 Имени Н.а. Островского,Москва,https://moskva.fulledu.ru/school/shkola-centr-obrazovaniya-1447-im-na-ostrovskogo/about/,
school,Школа,/К/ОУ школа-интернат VIII вида,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГОРОДСКОГО ОКРУГА ПУШКИНСКИЙ МОСКОВСКОЙ ОБЛАСТИ ""ШКОЛА-ИНТЕРНАТ ДЛЯ ОБУЧАЮЩИХСЯ С ОГРАНИЧЕННЫМИ ВОЗМОЖНОСТЯМИ ЗДОРОВЬЯ""",Красноармейск,https://moskva.fulledu.ru/school/kou-shkola-internat-viii-vida-1846-497928/about/,
school,Школа,1 корпус (5-6 классы),Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 544,Москва,https://moskva.fulledu.ru/school/srednyaya-obscheobrazovatelnaya-shkola-544/about/,
school,Школа,1-4 класс - Корпус № 9,Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 329,Москва,https://moskva.fulledu.ru/school/nachalnaya-shkola-detskiy-sad-kompensiruuschego-vida-1883/about/,
school,Школа,1-4 классы,1-4 классы,Москва,https://moskva.fulledu.ru/school/nachalnaya-shkola-detskiy-sad-kompensiruuschego-vida-1892/about/,
school,Школа,1-й корпус,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением отдельных предметов № 1393 ""Школа РОСТ""",Москва,https://moskva.fulledu.ru/school/srednyaya-obscheobrazovatelnaya-shkola-84/about/,
school,Школа,2 корпус,698,Москва,https://moskva.fulledu.ru/school/shkola-698/about/,
school,Школа,2 корпус (7-11 классы),Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 544,Москва,https://moskva.fulledu.ru/school/vechernyaya-smennaya-obscheobrazovatelnaya-shkola-144/about/,
school,Школа,2-й корпус,894,Москва,https://moskva.fulledu.ru/school/srednyaya-obscheobrazovatelnaya-shkola-894/about/,
school,Школа,3 корпус (1 классы),Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 544,Москва,https://moskva.fulledu.ru/school/srednyaya-obscheobrazovatlenaya-shkola-centr-obrazovaniya-vstuplenie/about/,
school,Школа,5 - 11 класс ШО1,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1359 имени авиаконструктора М.Л. Миля»,Москва,https://moskva.fulledu.ru/school/srednyaya-obscheobrazovatelnaya-shkola-s-uglublennym-izucheniem-angliyskogo-yazyka-1359/about/,
school,Школа,5 - 11 класс ШО2,Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка № 1359,Москва,https://moskva.fulledu.ru/school/shkola-centr-obrazovaniya-1457/about/,
school,Школа,5-11 классы,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1356»,Москва,https://moskva.fulledu.ru/school/srednyaya-obscheobrazovatelnaya-shkola-1356-s-uglublennym-izucheniem-otdelnyh-predmetov/about/,
school,Школа,5-9 классы (для детей с тяжелым нарушением речи),(коррекционная) общеобразовательная школа V вида № 573,Москва,https://moskva.fulledu.ru/school/shkola-v-vida-573/about/,
school,Школа,7-11 КЛАССЫ,Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1959 «Дети мира»,Москва,https://moskva.fulledu.ru/school/srednyaya-obscheobrazovatelnaya-shkola-1959-shkola-zdorovya/about/,
school,Школа,Cредняя общеобразовательная Школа,1380,Москва,https://moskva.fulledu.ru/school/srednyaya-obscheobrazovatelnaya-shkola-s-uglublennym-izucheniem-angliyskogo-yazyka-1380/about/,
school,Школа,Cредняя общеобразовательная школа с углубленным изучением английского и французского языков№ 1203,Cредняя общеобразовательная школа с углубленным изучением английского и французского языков№ 1203,Москва,https://moskva.fulledu.ru/school/crednyaya-obscheobrazovatelnaya-shkola-s-uglublennym-izucheniem-angliyskogo-i-francuzskogo-yazykov-1/about/,
school,Школа,Cредняя общеобразовательная школа №14,Cредняя общеобразовательная школа №14,Балашиха,https://moskva.fulledu.ru/school/shkola-maou-sosh-14-5371-7433/about/,
school,Школа,Cредняя общеобразовательная школа №15 с русским этнокультурным компонентом,Cредняя общеобразовательная школа №15 с русским этнокультурным компонентом,Жуковский,https://moskva.fulledu.ru/school/shkola-n-15/about/,
school,Школа,Cредняя общеобразовательная школа №2 имени С.И.Руденко посёлка Монино Щёлковского муниципального района Московской области,Cредняя общеобразовательная школа №2 имени С.И.Руденко посёлка Монино Щёлковского муниципального района Московской области,поселок городского типа Монино,https://moskva.fulledu.ru/school/srednyaya-obscheobrazovatelnaya-shkola-2-imeni-sirudenko-p-monino/about/,
school,Школа,Cредняя общеобразовательная школа №3,Cредняя общеобразовательная школа №3,Подольск,https://moskva.fulledu.ru/school/shkola-3-2229-146086/about/,
