category,category_label,name,legal_name,town
detskiy-otdyh,Детский отдых / лагерь,unyy geroy,unyy geroy,
detskiy-otdyh,Детский отдых / лагерь,uvc avangard,uvc avangard,
detskiy-otdyh,Детский отдых / лагерь,velikoe knyazhestvo,velikoe knyazhestvo,
detskiy-otdyh,Детский отдых / лагерь,verevochnyy gorodok funparks,verevochnyy gorodok funparks,
detskiy-otdyh,Детский отдых / лагерь,vesenniy konnyy lager vsedloru,vesenniy konnyy lager vsedloru,
detskiy-otdyh,Детский отдых / лагерь,vesennyaya biologicheskaya shkola,vesennyaya biologicheskaya shkola,
detskiy-otdyh,Детский отдых / лагерь,vsedloru,vsedloru,
detskiy-otdyh,Детский отдых / лагерь,vselennaya detstva,vselennaya detstva,
detskiy-otdyh,Детский отдых / лагерь,vstuplenie,vstuplenie,
detskiy-otdyh,Детский отдых / лагерь,vualya shirokaya maslenica,vualya shirokaya maslenica,
detskiy-otdyh,Детский отдых / лагерь,vualya v zelenom shume,vualya v zelenom shume,
detskiy-otdyh,Детский отдых / лагерь,vympel,vympel,
detskiy-otdyh,Детский отдых / лагерь,weekend talk,weekend talk,
detskiy-otdyh,Детский отдых / лагерь,world skills kids,world skills kids,
detskiy-otdyh,Детский отдых / лагерь,zanyatoru,zanyatoru,
detskiy-otdyh,Детский отдых / лагерь,zarya na ozere kruglom,zarya na ozere kruglom,
detskiy-otdyh,Детский отдых / лагерь,zelenyy shum,zelenyy shum,
detskiy-otdyh,Детский отдых / лагерь,zvenigorod,zvenigorod,
detskiy-otdyh,Детский отдых / лагерь,zvezda uspeha,zvezda uspeha,
sadik,Детский сад,1 berezka detskiy sad,1 berezka detskiy sad,
sadik,Детский сад,1 detskiy sad centr razvitiya rebenka,1 detskiy sad centr razvitiya rebenka,
sadik,Детский сад,1 kolokolchik detskiy sad,1 kolokolchik detskiy sad,
sadik,Детский сад,1 ryabinka detskiy sad centr razvitiya rebenka,1 ryabinka detskiy sad centr razvitiya rebenka,
sadik,Детский сад,1 skazka nachalnaya shkoladetskiy sad,1 skazka nachalnaya shkoladetskiy sad,
sadik,Детский сад,1 teremok detskiy sad,1 teremok detskiy sad,
sadik,Детский сад,1 teremok detskiy sad 8686,1 teremok detskiy sad 8686,
sadik,Детский сад,1 topolek detskiy sad centr razvitiya rebenka,1 topolek detskiy sad centr razvitiya rebenka,
sadik,Детский сад,10 alenkiy cvetochek detskiy sad centr razvitiya rebenka,10 alenkiy cvetochek detskiy sad centr razvitiya rebenka,
sadik,Детский сад,10 alenushka detskiy sad,10 alenushka detskiy sad,
sadik,Детский сад,10 babochka detskiy sad,10 babochka detskiy sad,
sadik,Детский сад,10 detskiy sad,10 detskiy sad,
sadik,Детский сад,10 detskiy sad 2898,10 detskiy sad 2898,
sadik,Детский сад,10 detskiy sad 3902,10 detskiy sad 3902,
sadik,Детский сад,10 gnomik detskiy sad,10 gnomik detskiy sad,
sadik,Детский сад,10 kolobok nachalnaya shkoladetskiy sad,10 kolobok nachalnaya shkoladetskiy sad,
sadik,Детский сад,10 ryabinka detskiy sad,10 ryabinka detskiy sad,
